run_id,fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,full_n,full_mae,full_rmse,full_mape,full_smape,full_wape,full_mase,full_rmsse,full_r2,full_bias,paired_n,paired_mae,paired_rmse,paired_mape,paired_smape,paired_wape,paired_mase,paired_rmsse,paired_r2,paired_bias,paired_seasonal_naive_n,paired_seasonal_naive_mae,paired_seasonal_naive_rmse,paired_seasonal_naive_mape,paired_seasonal_naive_smape,paired_seasonal_naive_wape,paired_seasonal_naive_mase,paired_seasonal_naive_rmsse,paired_seasonal_naive_r2,paired_seasonal_naive_bias,paired_mae_skill_vs_seasonal_naive,paired_rmse_skill_vs_seasonal_naive,full_interval_95_coverage,full_interval_95_mean_width,full_interval_95_winkler,paired_interval_95_coverage,paired_interval_95_mean_width,paired_interval_95_winkler,forecast_origin,target_available_through,target_publication_delay_months
ablation_20260811T165312Z_69334f2b,one_step_201501,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2014-12,2015-01,2015-01,0.034000799991190434,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,4093.021139428485,4093.021139428485,0.23229352143516618,0.23202403303670774,0.23229352143516616,0.022664219879006773,0.01750464196384237,,4093.021139428485,1.0,4093.021139428485,4093.021139428485,0.23229352143516618,0.23202403303670774,0.23229352143516616,0.022664219879006773,0.01750464196384237,,4093.021139428485,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,0.978065854937282,0.978065854937282,,,,,,,2014-12-31,2014-09-01,3
ablation_20260811T165312Z_69334f2b,one_step_201502,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-01,2015-02,2015-02,0.035255299997515976,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,119502.6495703191,119502.6495703191,7.636318006953631,7.355474302619732,7.63631800695363,0.6603587922453364,0.5118785090012045,,119502.6495703191,1.0,119502.6495703191,119502.6495703191,7.636318006953631,7.355474302619732,7.63631800695363,0.6603587922453364,0.5118785090012045,,119502.6495703191,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,-1.8671461029347194,-1.8671461029347194,,,,,,,2015-01-31,2014-10-01,3
ablation_20260811T165312Z_69334f2b,one_step_201503,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-02,2015-03,2015-03,0.035591799998655915,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,198694.62195504922,198694.62195504922,9.847848454760339,9.385703524983596,9.847848454760339,1.1020898892590254,0.8551710775793537,,198694.62195504922,1.0,198694.62195504922,198694.62195504922,9.847848454760339,9.385703524983596,9.847848454760339,1.1020898892590254,0.8551710775793537,,198694.62195504922,1.0,50531.0,50531.0,2.5044544506094977,2.5362136078994992,2.5044544506094977,0.2802778638203228,0.21748273453993303,,-50531.0,-2.932133184679686,-2.932133184679686,,,,,,,2015-02-28,2014-11-01,3
ablation_20260811T165312Z_69334f2b,one_step_201504,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-03,2015-04,2015-04,0.033748599933460355,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,170610.3574788929,170610.3574788929,6.4953272452116195,6.2910162005733605,6.4953272452116195,0.9453670069213029,0.7358719437602571,,170610.3574788929,1.0,170610.3574788929,170610.3574788929,6.4953272452116195,6.2910162005733605,6.4953272452116195,0.9453670069213029,0.7358719437602571,,170610.3574788929,1.0,53524.0,53524.0,2.0377185805716227,2.058693773339831,2.0377185805716227,0.2965811948709842,0.23085825796184006,,-53524.0,-2.187548716069294,-2.187548716069294,,,,,,,2015-03-31,2014-12-01,3
ablation_20260811T165312Z_69334f2b,one_step_201505,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-04,2015-05,2015-05,0.033748599933460355,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,50993.66462533269,50993.66462533269,1.3508209011553787,1.3417585238636862,1.3508209011553785,0.28242886203819445,0.22047699199748,,50993.66462533269,1.0,50993.66462533269,50993.66462533269,1.3508209011553787,1.3417585238636862,1.3508209011553785,0.28242886203819445,0.22047699199748,,50993.66462533269,1.0,88870.0,88870.0,2.3541640783753595,2.326776015801236,2.3541640783753595,0.49220728013466614,0.38423969767182065,,88870.0,0.4261993403248262,0.4261993403248262,,,,,,,2015-04-30,2015-01-01,3
ablation_20260811T165312Z_69334f2b,one_step_201506,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-05,2015-06,2015-06,0.03248609998263419,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,42881.7958296258,42881.7958296258,0.9858620662377258,0.9810262832445609,0.9858620662377258,0.23999571713198473,0.18662845762624056,,42881.7958296258,1.0,42881.7958296258,42881.7958296258,0.9858620662377258,0.9810262832445609,0.9858620662377258,0.23999571713198473,0.18662845762624056,,42881.7958296258,1.0,180404.0,180404.0,4.147528263605901,4.063265716595302,4.147528263605902,1.0096635767191093,0.7851471613589394,,180404.0,0.7623013024676515,0.7623013024676515,,,,,,,2015-05-31,2015-02-01,3
ablation_20260811T165312Z_69334f2b,one_step_201507,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-06,2015-07,2015-07,0.032302599982358515,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,25793.64870655164,25793.64870655164,0.4917792341140816,0.49299144889990554,0.49177923411408164,0.14575258670883556,0.11297714082010933,,-25793.64870655164,1.0,25793.64870655164,25793.64870655164,0.4917792341140816,0.49299144889990554,0.49177923411408164,0.14575258670883556,0.11297714082010933,,-25793.64870655164,1.0,292561.0,292561.0,5.577939986253483,5.737970254876528,5.577939986253483,1.653179160701394,1.2814280628345749,,-292561.0,0.9118349721714389,0.9118349721714389,,,,,,,2015-06-30,2015-03-01,3
ablation_20260811T165312Z_69334f2b,one_step_201508,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-07,2015-08,2015-08,0.03291840001475066,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,609785.5818657782,609785.5818657782,9.035589950932508,9.46311404162781,9.035589950932508,3.4776440943381624,2.68764587465071,,-609785.5818657782,1.0,609785.5818657782,609785.5818657782,9.035589950932508,9.46311404162781,9.035589950932508,3.4776440943381624,2.68764587465071,,-609785.5818657782,1.0,113081.0,113081.0,1.6755947953297137,1.68975148933436,1.6755947953297134,0.6449077897653777,0.4984074602444012,,-113081.0,-4.3924671860505144,-4.3924671860505144,,,,,,,2015-07-31,2015-04-01,3
ablation_20260811T165312Z_69334f2b,one_step_201509,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-08,2015-09,2015-09,0.03293929994106293,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,144012.36834510416,144012.36834510416,2.6593500505621672,2.695187282745384,2.6593500505621672,0.8266054927699864,0.6382566152747906,,-144012.36834510416,1.0,144012.36834510416,144012.36834510416,2.6593500505621672,2.695187282745384,2.6593500505621672,0.8266054927699864,0.6382566152747906,,-144012.36834510416,1.0,80660.0,80660.0,1.4894774493557354,1.4784667350483498,1.4894774493557354,0.4629741168276103,0.3574816467478419,,80660.0,-0.7854248493070191,-0.7854248493070191,,,,,,,2015-08-31,2015-05-01,3
ablation_20260811T165312Z_69334f2b,one_step_201510,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-09,2015-10,2015-10,0.03402479994110763,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,84773.54433725309,84773.54433725309,2.0369412783117014,2.016404787583629,2.0369412783117014,0.48636385596490217,0.3765845140015549,,84773.54433725309,1.0,84773.54433725309,84773.54433725309,2.0369412783117014,2.016404787583629,2.0369412783117014,0.48636385596490217,0.3765845140015549,,84773.54433725309,1.0,131473.0,131473.0,3.159037206443549,3.109915512381011,3.1590372064435486,0.7542885665000325,0.5840347504211798,,131473.0,0.35520187158387584,0.35520187158387584,,,,,,,2015-09-30,2015-06-01,3
ablation_20260811T165312Z_69334f2b,one_step_201511,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2015-10,2015-11,2015-11,0.03511110006365925,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,315221.3262150986,315221.3262150986,14.091265446598461,13.163792943354146,14.09126544659846,1.7930919830643008,1.394222174948187,,315221.3262150986,1.0,315221.3262150986,315221.3262150986,14.091265446598461,13.163792943354146,14.09126544659846,1.7930919830643008,1.394222174948187,,315221.3262150986,1.0,27375.0,27375.0,1.2237382420547538,1.2162961017876555,1.2237382420547538,0.15571882025168035,0.12107947294518578,,27375.0,-10.514934290962506,-10.514934290962506,,,,,,,2015-10-31,2015-07-01,3
