run_id,definition,incident_lag_months,outcome,security_term,target_months,coefficient_log_points_per_incident,hac_standard_error,hac_p_value,hac_95_ci_lower,hac_95_ci_upper,approx_percent_difference_per_incident,controls,interpretation,bh_adjusted_p_value_family_all_definition_lag_tests,multiple_testing_family_size
gtd_20260811T172334Z_6527a1fb,strict_all_criteria_doubtterr_zero,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.001468292449485601,0.0027458154527667832,0.5928308932846835,-0.006849991845102038,0.003913406946130836,-0.14672150355111094,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_all_criteria_doubtterr_zero,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.0018754339391619176,0.0025522106649577708,0.46244471027734335,-0.006877674923438171,0.0031268070451143356,-0.18736764118123422,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_all_criteria_doubtterr_zero,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-0.0018240454573475832,0.0024033772895889808,0.447881903920359,-0.006534578386203477,0.0028864874715083108,-0.18223828974475953,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_all_criteria_doubtterr_zero,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.002471546345890143,0.0024090911586952847,0.30492703561135415,-0.007193278252406768,0.0022501855606264823,-0.246849458992338,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,successful_only,0,log1p_monthly_departing_visitors,monthly_incidents_lag_0,153,-0.0003558772082329797,0.002468399853473125,0.8853636703435359,-0.005193852020484251,0.004482097604018292,-0.03558138914505325,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,successful_only,1,log1p_monthly_departing_visitors,monthly_incidents_lag_1,152,-0.0009119467295346873,0.0023517313214463605,0.6981812523916884,-0.005521255420884343,0.0036973619618149685,-0.09115310324900555,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,successful_only,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.0014239746067429733,0.002238822321484392,0.5247520809551105,-0.0058119857246367364,0.00296403651115079,-0.14229612359644736,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,successful_only,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.0015424050071741226,0.0021751177591047464,0.4782541487058033,-0.005805557477152895,0.0027207474628046496,-0.15412161119022766,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,successful_only,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-0.0015097244695445634,0.001957169266511975,0.44048074501294343,-0.005345705743556709,0.0023262568044675825,-0.15085854088523024,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,successful_only,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.0019014802815334256,0.001917043548611306,0.32125527077215477,-0.005658816593606446,0.0018558560305395942,-0.1899673613199061,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,0,log1p_monthly_departing_visitors,monthly_incidents_lag_0,153,-0.0003307496924505555,0.0022219095510288074,0.8816654413543685,-0.004685612389372579,0.0040241130044714685,-0.03306950008009424,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,1,log1p_monthly_departing_visitors,monthly_incidents_lag_1,152,-0.000793522557351942,0.0021077891411194626,0.706566393150265,-0.004924713360950702,0.0033376682462468183,-0.07932078015882002,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
