run_id,definition,period_start,period_end,months,incidents,active_months,successful_incidents,events_unknown_success,tourism_transport_targets,hotel_resort_targets,complete_case_severity_sum,events_incomplete_severity,complete_case_severity_event_share,events_missing_coordinates,incidents_within_100km_known,known_coordinate_event_share,unknown_month_events_excluded,guardrail
gtd_20260811T172334Z_6527a1fb,broad_all_gtd,2008-01,2020-12,156,1777,138,1560,0,161,3,3856.5,55,0.9690489589195272,16,189,0.9909960607765897,2,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,doubtterr_zero,2008-01,2020-12,156,1246,133,1070,0,86,3,2610.5,44,0.9646869983948636,12,172,0.9903691813804173,0,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,strict_all_criteria_doubtterr_zero,2008-01,2020-12,156,1245,133,1069,0,86,3,2608.5,44,0.9646586345381526,12,171,0.9903614457831326,0,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,successful_only,2008-01,2020-12,156,1560,134,1560,0,152,2,3713.25,54,0.9653846153846154,14,151,0.9910256410256411,2,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,2008-01,2020-12,156,1761,138,1546,0,157,3,3853.25,52,0.9704713231118682,0,189,1.0,2,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,2008-01,2020-12,156,1233,133,1059,0,83,3,2605.5,42,0.9659367396593674,0,171,1.0,0,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,2008-01,2020-12,156,189,70,151,0,21,1,518.75,2,0.9894179894179894,0,189,1.0,1,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,2008-01,2020-12,156,171,65,134,0,20,1,468.5,2,0.9883040935672515,0,171,1.0,0,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,2008-01,2020-12,156,155,62,152,0,10,0,2284.5,0,1.0,0,18,1.0,0,aggregate descriptive sensitivity; unknown attributes are not recoded as zero
