run_id,protocol,model,regime,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,2382116.143906193,2887708.3478439916,68.7528344892155,43.87356105765462,46.80325952316715,2143994.7202626616,-1.1085571657880293,36,1.0,25256151.05915213,25674965.299236692,25256151.05915213
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,5595649.482653061,5638444.722585469,446.68650072014566,129.156688248015,348.33103640196134,5595649.482653061,-62.96472735948171,7,1.0,25887853.879318632,26585162.734921075,25887853.879318632
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,2497773.595264985,2838351.494962091,107.44320878849125,60.48855858277468,72.47605825061304,2228006.8988556466,-1.7957116261377273,62,1.0,20174426.94329037,20451070.39504975,20174426.94329037
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,recovery,model_full_evaluable_support,24,24,2,2021-01-01,2022-12-01,1613830.1872959135,1780342.785569567,76.22854414384378,52.01717349041568,47.97920228474939,298519.288856351,0.21084651788032738,24,1.0,20062912.448651496,20258525.491862178,20062912.448651496
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,565645.9269499239,677973.5432290813,15.094532652544611,13.415292870819702,11.113678560545566,299498.2108783768,0.8837737524987745,36,1.0,4840937.588443429,4920198.875139783,4840937.588443429
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,4103288.047806765,4297628.04230362,314.0039703957759,113.52759921269394,255.43104205852381,4103288.047806765,-36.16032883744326,7,0.0,2586277.377161766,2632879.470964481,114992251.74619703
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,754067.6589636668,929613.9215695668,27.050383438457796,27.046717482371587,21.880226326179965,101907.79871694499,0.7001077397849162,62,0.5967741935483871,1785798.9952835443,1828814.928059827,9069319.829640118
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,recovery,model_full_evaluable_support,24,24,2,2021-01-01,2022-12-01,1809981.2094945228,1947076.0468417655,78.92656930493173,94.81388561773649,53.8107759202609,-1809981.2094945228,0.05611290742228081,24,0.6666666666666666,4354554.391168777,4377465.277328344,11001845.424970046
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ets_holt_winters,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,1073110.1615276558,1218311.3666942946,19.93267154464982,22.398973456898702,21.08421686969791,-1073110.1615276558,0.624685524154402,36,0.9722222222222222,4277144.450796126,4474041.492720041,4331572.723200677
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ets_holt_winters,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,2584703.441571896,2965598.508780205,198.40571421323276,86.57409267795686,160.8986465977817,2584703.441571896,-16.694838702034204,7,0.2857142857142857,2922876.544343774,3046289.9748983085,53283896.5389534
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ets_holt_winters,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,567534.7310382638,791023.6697585703,16.022400348639966,15.863985686705657,16.46773763000385,-119816.90158873876,0.7828604279081435,62,0.8387096774193549,2150438.68060422,2137176.6195476353,5126924.856769953
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ets_holt_winters,recovery,model_full_evaluable_support,24,24,2,2021-01-01,2022-12-01,1677167.167272875,1854028.6492590727,77.61266456425092,61.658167766071045,49.86221190889801,-263339.5269769295,0.14417079884233575,24,0.75,5066430.960908644,5112488.867923347,8223729.05782596
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,extra_trees_recursive_b0,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,1923600.1847477937,2051924.1584493602,38.75073183193125,48.649048082706685,37.79444545383537,-1923600.1847477937,-0.06463645366854798,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,extra_trees_recursive_b0,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,2036860.6611594823,2407342.1424722755,154.49666654300793,73.6456400322849,126.79525179473377,2036860.6611594823,-10.659972765730226,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,extra_trees_recursive_b0,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,710785.3228196619,886344.7983367848,19.494918800125262,21.21236608489102,20.62433463065473,-507246.3329271889,0.7273751622336286,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,extra_trees_recursive_b0,recovery,model_full_evaluable_support,24,24,2,2021-01-01,2022-12-01,1102243.02391385,1294395.949462908,49.818828849055116,40.59061789851424,32.7697061485314,-386625.8108310518,0.5828535907251648,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,hist_gradient_boosting_recursive_b0,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,2276849.9163449206,2614030.654933741,42.94027672694863,56.56511033042054,44.73501336305506,-2273774.326289626,-0.7278262817067132,0,,,,
