run_id,protocol,model,year,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2015,model_full_evaluable_support,12,12,1,2015-01-01,2015-12-01,2650953.1583333337,3007225.2743936055,119.50584925221837,62.9237105151529,76.43759044716036,2541239.879166667,-2.288337075442397,12,1.0,20048207.413273893,20407375.68535624,20048207.413273893
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2016,model_full_evaluable_support,12,12,1,2016-01-01,2016-12-01,3239637.702898551,3369560.844829213,153.53654916126578,80.03327374889044,123.94466652902831,3239637.702898551,-11.082110343401261,12,1.0,20033440.458015203,20392344.17667914,20033440.458015203
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2017,model_full_evaluable_support,12,12,1,2017-01-01,2017-12-01,1675628.5705128203,1844285.4627693375,75.6462906765892,49.70555862010003,52.06463537511417,1056191.2403846157,-0.41753708567829606,12,1.0,18536374.735454887,18868458.175493333,18536374.735454887
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2018,model_full_evaluable_support,12,12,1,2018-01-01,2018-12-01,2124738.965517241,2477949.1970132277,84.31534647737217,51.009785577029255,55.87904567686295,1843071.2931034483,-1.1260559998640773,12,1.0,20870774.98416582,21244679.7445046,20870774.98416582
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2019,model_full_evaluable_support,12,12,1,2019-01-01,2019-12-01,2442521.7395833335,2846193.302699772,87.86287019471276,52.06529652391752,56.518004507208076,2059545.4231770833,-1.004985881714655,12,1.0,22036608.314739,22431399.24880126,22036608.314739
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2020,model_full_evaluable_support,9,9,1,2020-01-01,2020-12-01,5381083.071428571,5431941.177856754,393.0979534201752,122.83732778300597,306.0086797660114,5381083.071428571,-60.44949913021233,9,1.0,23747175.19682752,25453355.46652706,23747175.19682752
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2021,model_full_evaluable_support,12,12,1,2021-01-01,2021-12-01,1457503.241051454,1590688.6456400042,98.4317643398439,61.72125867562105,59.57612513253427,280920.02181208064,-0.004057657948971949,12,1.0,18739410.672286343,19075131.548086457,18739410.672286343
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2022,model_full_evaluable_support,12,12,1,2022-01-01,2022-12-01,1770157.1335403726,1951653.2737377249,54.02532394784368,42.31308830521032,41.351546026034036,316118.5559006212,0.005645519761142914,12,1.0,21386414.225016642,21769556.78160007,21386414.225016642
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2023,model_full_evaluable_support,12,12,1,2023-01-01,2023-12-01,2441370.2991329483,2920112.8366317716,75.91516266537425,47.232759454466645,51.32753694431766,2192825.49566474,-1.20407810794388,12,1.0,25312172.871121395,25765646.30170607,25312172.871121395
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,2024,model_full_evaluable_support,12,12,1,2024-01-01,2024-12-01,2355477.9752252256,2867437.219853984,66.16384481744956,42.68525328387284,45.419611577707535,2127773.412162162,-1.1372037409290736,12,1.0,25419994.722720593,25875399.80671114,25419994.722720593
