run_id,protocol,model,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,2469144.3020211267,2917869.398548647,109.24706628675568,58.00192102103627,65.1540411087488,2028327.495888603,-1.084947884152804,129,1.0,21881866.546793375,21950894.76964125,21881866.546793375
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1079674.5239415544,1500388.5540441875,48.936375230734754,40.54320524473706,28.48969104777535,18478.189293418298,0.44872158293721587,129,0.689922480620155,3159740.6040288857,2601231.6895336728,13996601.822048927
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ets_holt_winters,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1024527.5600381414,1353405.9015885205,38.46906159889708,30.044533582600828,27.034511797925695,-265797.1958910113,0.5514409359644015,129,0.8294573643410853,3328363.3899095827,3030364.2637316184,8094284.746631459
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,extra_trees_recursive_b0,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1194032.2005254915,1476061.9976069226,37.83596798244706,35.319587116519536,31.50728088857644,-742014.5280948462,0.4664529742130069,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,hist_gradient_boosting_recursive_b0,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1356009.6292800982,1827997.2591323562,38.761642457510455,38.80146585669023,35.781427216568886,-940552.4892910776,0.181696166877652,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,2279162.6744186045,2695132.7721346943,100.42941769869351,55.3923529045017,60.14093970167849,1713842.6279069767,-0.778786542232202,129,0.8914728682170543,10785465.285473375,10951039.334993698,12327679.702187635
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1766040.2759109498,3362605.0771938907,52.54321465105676,44.763863547829594,46.60102718266465,-95862.75039131723,-1.7689507665851454,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1158398.3123959983,1420091.782675032,37.161498835033626,34.69007524534062,30.566998941444737,-700478.7403149784,0.5061485492935477,129,0.6434108527131783,2437004.1659287354,2219957.669244028,11729298.244668763
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1319339.967362272,1851205.6690381684,55.470486027367485,51.896974151481245,34.81381400008644,61439.834544675316,0.16078575277000318,129,0.7829457364341085,4736987.732819918,4293075.304093652,18065875.964033235
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1030677.5839793283,1376870.7977296489,37.02280475313621,29.833176755918522,27.196794298934602,-387699.2480620155,0.5357521692913576,129,0.7286821705426356,2682115.6330325925,2183034.079132069,11740619.533201814
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_naive,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,957225.8527131783,1448292.8746757563,38.862647571911005,30.005784616910894,25.2586017378493,-222128.19379844962,0.48633935456232924,129,0.937984496124031,6822056.465892814,6001333.933237389,10191362.81489655
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,stl_arima_111,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,986648.9405159242,1398498.4247850785,39.90035471695684,29.44959427996293,26.034997459507707,-13018.09508857862,0.5210529880441009,129,0.8604651162790697,4041253.544345655,3869960.553455606,8215013.026962305
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,theta,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1000850.0792678546,1500205.7337734832,40.55860538963173,30.068531826108664,26.409727108672783,-53541.32116379831,0.4488559197780573,129,0.9844961240310077,8596004.736189812,9034058.438207954,9328315.72432382
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,xgboost_recursive_b0,model_full_evaluable_support,129,129,11,2015-01-01,2025-12-01,1384344.5537790698,1885893.7066511877,37.52291849916087,38.40112431547018,36.529109251234956,-1012777.8706395349,0.12904056625079674,0,,,,
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,drift,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,2449181.3624142916,2908233.0997505295,80.21394430225726,63.90202758381734,64.62727311599497,-22802.008618254822,-1.0711994928663247,129,1.0,13408425.82189296,12876412.460510666,13408425.82189296
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,hist_gradient_boosting_recursive_b0,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,917922.8613285595,1247966.5161779993,31.965555987191003,25.194860024405383,24.221502077746752,-330051.4416928457,0.6186099389601236,0,,,,
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,naive_last,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,2424733.434108527,2868412.831870792,78.47282413459291,63.78317419031506,63.98215839971303,-93638.51937984496,-1.0148690155200444,129,0.7596899224806202,7199416.537798244,7140064.88664506,15415945.48833552
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,ridge_recursive_b0,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,825882.3074640855,1331874.8106804236,33.00546586715715,28.822298790496482,21.792800755896415,65336.49302893968,0.5655995007420854,0,,,,
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,same_month_historical_mean,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,1152276.1206510128,1410159.7825359257,37.098478814413674,34.4401613596487,30.405450856830196,-689168.2257990945,0.5130323020164345,129,0.6666666666666666,2496023.3632920976,2299417.528013897,11241959.375502639
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,seasonal_moving_average_3,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,1001734.9793281654,1354536.984142238,36.83046851319507,28.989870782522768,26.433077228331413,-347654.91731266154,0.5506908737132497,129,0.7364341085271318,2732226.379750065,2233828.0034760386,11742340.624422021
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,seasonal_naive,model_full_evaluable_support,129,129,129,2015-01-01,2025-12-01,896358.4031007752,1402065.0252097729,37.89834339695614,28.288824993194286,23.652474339387812,-174434.0,0.5186069490364134,129,0.7751937984496124,2844516.1284956387,2041090.6769607216,12923508.459463354
