run_id,protocol,model,benchmark,loss,support,observations,unique_target_months,folds,support_start,support_end,maximum_forecast_horizon,model_mean_loss,benchmark_mean_loss,relative_skill_vs_seasonal_naive,mean_loss_difference_model_minus_benchmark,dm_statistic,dm_two_sided_p_value,dm_hac_lags,dm_reject_equal_accuracy_at_5pct,moving_block_length,moving_block_repetitions,bootstrap_mean_loss_difference,bootstrap_95_lower,bootstrap_95_upper,bootstrap_95_excludes_zero,direction_note
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,drift,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,8513961826986.643,2097552250836.566,-3.0589986845815273,6416409576150.075,5.124128870315338,1.0735109315945364e-06,11,True,12,2000,6416409576150.075,3992814741311.316,8598923691137.877,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,2251165813106.808,2097552250836.566,-0.07323467732876576,153613562270.24243,0.4970006721274835,0.6200411518466804,11,False,12,2000,153613562270.24243,-384644668800.6278,723937942890.6619,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ets_holt_winters,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,1831707534454.6362,2097552250836.566,0.12674045010125634,-265844716381.9299,-0.6244663398890261,0.5334328594339106,11,False,12,2000,-265844716381.9299,-1154741044018.3547,335629377657.4008,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,extra_trees_recursive_b0,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,2178759020779.3386,2097552250836.566,-0.03871501647235975,81206769942.7728,0.08571072678616709,0.931830298733874,11,False,12,2000,81206769942.7728,-1862075634914.6096,1435689354896.0186,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,hist_gradient_boosting_recursive_b0,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,3341573979395.4067,2097552250836.566,-0.5930825933240462,1244021728558.8406,0.9845638027825726,0.32669577072435785,11,False,12,2000,1244021728558.8406,-1130688682035.5376,3306109872123.1094,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,7263740659434.441,2097552250836.566,-2.462960532467044,5166188408597.876,5.105695598859005,1.1641361182421698e-06,11,True,12,2000,5166188408597.876,3140541122345.9907,6877080073573.303,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,11307112905170.13,2097552250836.566,-4.390622760725279,9209560654333.566,1.4529299910159639,0.14869034741981718,11,False,12,2000,9209560654333.566,547211063190.6468,22756047792601.207,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,2016660671221.1501,2097552250836.566,0.03856475069126586,-80891579615.41556,-0.08925044187417727,0.9290223757580471,11,False,12,2000,-80891579615.41556,-1928395449682.7214,1176497738901.843,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,3426962429079.0522,2097552250836.566,-0.6337912095931237,1329410178242.4863,1.8003615741187957,0.07415851013801755,11,False,12,2000,1329410178242.4863,256873003257.07962,2876260209203.813,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,1895773193640.6794,2097552250836.566,0.09619739251568638,-201779057195.88623,-0.32906541478638107,0.7426440488373994,11,False,12,2000,-201779057195.88623,-1375356076648.686,832309710813.576,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,stl_arima_111,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,1955797844126.3457,2097552250836.566,0.06758087034717941,-141754406710.22006,-0.40895980665956466,0.6832526065210194,11,False,12,2000,-141754406710.22006,-827704602423.3402,476424944961.922,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,theta,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,2250617243646.835,2097552250836.566,-0.07297314894025742,153064992810.2688,0.6293102782515566,0.5302675309303114,11,False,12,2000,153064992810.2688,-205307787528.87723,637562336625.5581,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,xgboost_recursive_b0,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,11,2015-01-01,2025-12-01,12,3556595072786.556,2097552250836.566,-0.6955930758664441,1459042821949.9905,1.1613307958216548,0.2476685056884327,11,False,12,2000,1459042821949.9905,-871857570542.0073,3489632734843.643,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,drift,seasonal_naive,absolute,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,2449181.3624142916,896358.4031007752,-1.7323683851702971,1552822.9593135165,4.694461501364449,6.7754220882177925e-06,11,True,12,2000,1552822.9593135165,788774.5660502372,2049270.599644988,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,hist_gradient_boosting_recursive_b0,seasonal_naive,absolute,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,917922.8613285595,896358.4031007752,-0.024057852476404795,21564.4582277843,0.11872255038336839,0.9056812884342584,11,False,12,2000,21564.4582277843,-392096.52731279476,293847.1144799403,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,naive_last,seasonal_naive,absolute,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,2424733.434108527,896358.4031007752,-1.7050936608845744,1528375.0310077518,4.6141132507880025,9.455517113274573e-06,11,True,12,2000,1528375.0310077518,764374.1511627907,2024603.5325581392,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,ridge_recursive_b0,seasonal_naive,absolute,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,825882.3074640855,896358.4031007752,0.07862490650267961,-70476.09563668972,-0.4755189732029049,0.6352276113695394,11,False,12,2000,-70476.09563668972,-415885.2959877547,169477.6423136405,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,same_month_historical_mean,seasonal_naive,absolute,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,1152276.1206510128,896358.4031007752,-0.28550824833564414,255917.71755023743,0.9214738646302634,0.3585366144609702,11,False,12,2000,255917.71755023743,-352610.83140172384,685231.361611025,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,seasonal_moving_average_3,seasonal_naive,absolute,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,1001734.9793281654,896358.4031007752,-0.11756076125672577,105376.57622739021,0.5317759740535861,0.595802892497246,11,False,12,2000,105376.57622739021,-317367.369250646,472158.6846253226,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,drift,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,8457819762484.572,1965786334916.4807,-3.3025122375997773,6492033427568.093,4.406819234281344,2.1962291318423995e-05,11,True,12,2000,6492033427568.093,3244738018822.2676,8784289675005.672,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,hist_gradient_boosting_recursive_b0,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,1557420425501.4526,1965786334916.4807,0.2077366711537234,-408365909415.0281,-0.6416984405656418,0.522216476902444,11,False,12,2000,-408365909415.0281,-1866213992060.2007,582719961187.569,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,naive_last,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,8227792174041.016,1965786334916.4807,-3.18549667779158,6262005839124.535,4.281173069845593,3.615301869744665e-05,11,True,12,2000,6262005839124.535,3045095771391.9443,8531940645404.404,True,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,ridge_recursive_b0,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,1773890511325.0144,1965786334916.4807,0.09761784390449502,-191895823591.46622,-0.2472755721500921,0.8050911498649085,11,False,12,2000,-191895823591.46622,-1915232034269.777,1273516398455.4534,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,same_month_historical_mean,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,1988550612281.7693,1965786334916.4807,-0.011580239907535983,22764277365.288425,0.026553956601288252,0.9788568521926309,11,False,12,2000,22764277365.288425,-1837964259216.0364,1315399005336.7917,False,negative loss difference favors model
run_20260811T162732Z_6bbfe89e,one_step_ex_ante,seasonal_moving_average_3,seasonal_naive,squared,paired_model_and_seasonal_naive_target_months,129,129,129,2015-01-01,2025-12-01,1,1834770441409.1497,1965786334916.4807,0.06664808437225067,-131015893507.3308,-0.22853927116805678,0.8195917461481027,11,False,12,2000,-131015893507.3308,-1351407870469.1372,921241239935.8422,False,negative loss difference favors model
