fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,n,mae,rmse,mape,smape,wape,mase,rmsse,r2,bias,seasonal_naive_mae,seasonal_naive_rmse,mae_skill_vs_seasonal_naive,rmse_skill_vs_seasonal_naive,interval_95_coverage,interval_95_mean_width,interval_95_winkler
one_step_201501,one_step_ex_ante,naive_last,2008-01,2014-12,2015-01,2015-01,0.0009661999065428972,,1.0,21458.0,21458.0,1.217817893716473,1.2252787254999928,1.2178178937164728,0.11890066660828003,0.09255206074555646,,-21458.0,186605.0,186605.0,0.8850084402883095,0.8850084402883095,1.0,3464704.958548026,3464704.958548026
one_step_201501,one_step_ex_ante,seasonal_naive,2008-01,2014-12,2015-01,2015-01,0.001157799968495965,,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0339947288861073,0.804859599935901,,-186605.0,186605.0,186605.0,0.0,0.0,1.0,714346.6009831917,714346.6009831917
one_step_201501,one_step_ex_ante,drift,2008-01,2014-12,2015-01,2015-01,0.0008545999880880117,,1.0,14616.915662650717,14616.915662650717,0.8295620022798312,0.8330171993590002,0.8295620022798312,0.08099361618259761,0.06304528224076451,,-14616.915662650717,186605.0,186605.0,0.9216692175308769,0.9216692175308769,1.0,5746101.677121507,5746101.677121507
one_step_201501,one_step_ex_ante,same_month_historical_mean,2008-01,2014-12,2015-01,2015-01,0.0034536999883130193,,1.0,446929.2857142857,446929.2857142857,25.364828099952426,29.048934214088302,25.364828099952422,2.4764745082575734,1.9276832137383133,,-446929.2857142857,186605.0,186605.0,-1.3950552542230148,-1.3950552542230148,1.0,1374287.815350769,1374287.815350769
one_step_201501,one_step_ex_ante,seasonal_moving_average_3,2008-01,2014-12,2015-01,2015-01,0.017013899981975555,,1.0,290028.0,290028.0,16.460121543424417,17.936289030853622,16.460121543424417,1.6070706745766725,1.2509408646617695,,-290028.0,186605.0,186605.0,-0.5542348811660995,-0.5542348811660995,1.0,933895.6126456321,933895.6126456321
one_step_201502,one_step_ex_ante,naive_last,2008-01,2015-01,2015-02,2015-02,0.0010279000271111727,,1.0,197079.0,197079.0,12.593510871128007,11.847502606758365,12.593510871128009,1.0915237826224808,0.8520937929274754,,197079.0,41680.0,41680.0,-3.728382917466411,-3.728382917466411,1.0,3443775.668174726,3443775.668174726
one_step_201502,one_step_ex_ante,seasonal_naive,2008-01,2015-01,2015-02,2015-02,0.0012118000304326415,,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.2308450482278934,0.18020828849962287,,-41680.0,41680.0,41680.0,0.0,0.0,1.0,709626.127272225,709626.127272225
one_step_201502,one_step_ex_ante,drift,2008-01,2015-01,2015-02,2015-02,0.0008932000491768122,,1.0,204094.09523809515,204094.09523809515,13.041781250736944,12.24340237315945,13.041781250736946,1.1303769495745284,0.8824243665003876,,204094.09523809515,41680.0,41680.0,-3.896691344484049,-3.896691344484049,1.0,5745212.934761114,5745212.934761114
one_step_201502,one_step_ex_ante,same_month_historical_mean,2008-01,2015-01,2015-02,2015-02,0.0017534000799059868,,1.0,329631.14285714296,329631.14285714296,21.06370227692336,23.5432414160281,21.063702276923365,1.8256649968875427,1.4251982747231386,,-329631.14285714296,41680.0,41680.0,-6.9086166712366355,-6.9086166712366355,1.0,1377735.2197326226,1377735.2197326226
one_step_201502,one_step_ex_ante,seasonal_moving_average_3,2008-01,2015-01,2015-02,2015-02,0.01837950001936406,,1.0,182379.33333333326,182379.33333333326,11.654190030406138,12.37531117075295,11.654190030406138,1.0101095489228493,0.7885380882366172,,-182379.33333333326,41680.0,41680.0,-3.375703774792065,-3.375703774792065,1.0,927644.9646327054,927644.9646327054
one_step_201503,one_step_ex_ante,naive_last,2008-01,2015-02,2015-03,2015-03,0.001486700028181076,,1.0,452720.0,452720.0,22.438040388670952,25.27347686158261,22.438040388670952,2.5337292657162545,1.9703100978382908,,-452720.0,50531.0,50531.0,-7.959252735944272,-7.959252735944272,1.0,3424315.3041107524,3424315.3041107524
