run_id,protocol,feature_block,feature_block_label,model,exogenous_lags_completed_months,vintage_status,observations,mae,rmse,smape_pct,wape_pct,seasonal_naive_mae_on_paired_support,mae_skill_vs_seasonal_naive,interpretation
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B0,Target history and calendar,ridge_recursive_b0,{},retrospective snapshot; historical extraction vintage unknown,129.0,825882.3074640855,1331874.8106804236,28.822298790496482,21.792800755896415,896358.4031007752,0.07862490650267961,reference block
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B1,B0 + REER,ridge_recursive_b1,"{""reer_cpi_developed_2025eq100"":1}",retrospective snapshot; historical extraction vintage unknown,129.0,829076.7406413725,1252250.5375906106,35.15947202120911,21.87709320910854,896358.4031007752,0.07506111643139068,lagged developed-country CPI-based REER level
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B2,B0 + HICP,ridge_recursive_b2,"{""ea_hicp_air_passenger_yoy_pct"":1}",retrospective snapshot; historical extraction vintage unknown,129.0,832220.517006322,1316996.7773664137,29.43709416952502,21.960048966028445,896358.4031007752,0.0715538403752124,lagged euro-area passenger-air annual HICP inflation
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B5,B0 + macro/travel cost,ridge_recursive_b5,"{""ea_hicp_air_passenger_yoy_pct"":1,""reer_cpi_developed_2025eq100"":1}",retrospective snapshot; historical extraction vintage unknown,129.0,835397.6733292477,1240693.3698519336,35.90838141179636,22.04388552977378,896358.4031007752,0.06800932479758748,joint lagged REER and HICP levels
