run_id,protocol,model,macro_fold_full_n,macro_fold_full_mae,macro_fold_full_rmse,macro_fold_full_mape,macro_fold_full_smape,macro_fold_full_wape,macro_fold_full_mase,macro_fold_full_rmsse,macro_fold_full_r2,macro_fold_full_bias,macro_fold_paired_n,macro_fold_paired_mae,macro_fold_paired_rmse,macro_fold_paired_mape,macro_fold_paired_smape,macro_fold_paired_wape,macro_fold_paired_mase,macro_fold_paired_rmsse,macro_fold_paired_r2,macro_fold_paired_bias,macro_fold_paired_seasonal_naive_n,macro_fold_paired_seasonal_naive_mae,macro_fold_paired_seasonal_naive_rmse,macro_fold_paired_seasonal_naive_mape,macro_fold_paired_seasonal_naive_smape,macro_fold_paired_seasonal_naive_wape,macro_fold_paired_seasonal_naive_mase,macro_fold_paired_seasonal_naive_rmsse,macro_fold_paired_seasonal_naive_r2,macro_fold_paired_seasonal_naive_bias,macro_fold_paired_mae_skill_vs_seasonal_naive,macro_fold_paired_rmse_skill_vs_seasonal_naive,macro_fold_full_interval_95_coverage,macro_fold_full_interval_95_mean_width,macro_fold_full_interval_95_winkler,macro_fold_paired_interval_95_coverage,macro_fold_paired_interval_95_mean_width,macro_fold_paired_interval_95_winkler,macro_fold_target_publication_delay_months,folds,runtime_seconds,pooled_full_n,pooled_full_mae,pooled_full_rmse,pooled_full_mape,pooled_full_smape,pooled_full_wape,pooled_full_r2,pooled_full_bias,pooled_paired_n,pooled_paired_mae,pooled_paired_rmse,pooled_paired_mape,pooled_paired_smape,pooled_paired_wape,pooled_paired_r2,pooled_paired_bias,pooled_paired_seasonal_naive_n,pooled_paired_seasonal_naive_mae,pooled_paired_seasonal_naive_rmse,pooled_paired_seasonal_naive_mape,pooled_paired_seasonal_naive_smape,pooled_paired_seasonal_naive_wape,pooled_paired_seasonal_naive_r2,pooled_paired_seasonal_naive_bias,pooled_paired_mae_skill_vs_seasonal_naive,pooled_paired_rmse_skill_vs_seasonal_naive,pooled_full_interval_95_coverage,pooled_full_interval_95_mean_width,pooled_full_interval_95_winkler,pooled_paired_interval_95_coverage,pooled_paired_interval_95_mean_width,pooled_paired_interval_95_winkler
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,seasonal_naive,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,0.0,0.0,0.9040404040404041,5935048.876668795,11840797.29554486,0.9040404040404041,5935048.876668795,11840797.29554486,3.0,11,0.04566179995890707,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,0.0,0.0,0.9139784946236559,5925824.551183336,10599378.51915626,0.9139784946236559,5925824.551183336,10599378.51915626
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,stl_arima_111,11.727272727272727,1015326.6542082974,1208917.9991684987,42.774184705562,30.429099265044115,35.18521934193258,2.801124964522364,2.106242482478388,-1.0820332901801721,35603.3928014797,8.454545454545455,1036533.3977238312,1214997.8687859066,44.444022487222355,29.737951335427056,34.893951405486334,2.9333745112471394,2.1943418023079917,-1.4294220694616795,135840.26842245788,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-0.2527375003594937,-0.3327397096818272,0.851010101010101,4015560.4481598753,9022222.507489456,0.8434343434343435,3513477.748082489,10328380.469229063,3.0,11,0.6948152001714334,129.0,986648.9405159242,1398498.4247850785,39.90035471695684,29.44959427996293,26.034997459507707,0.5210529880441009,-13018.095088578639,93.0,951181.3721123956,1378300.22338494,36.97321791339622,26.9763903308029,23.620388821835,0.5777416022190381,-1710.9443581139128,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.04348522518320763,0.054667263458923365,0.8604651162790697,4041253.544345655,8215013.026962305,0.8602150537634409,3488691.362830057,8683936.233377168
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,theta,11.727272727272727,1036035.613284593,1201721.7989481294,43.84078565600323,31.141079446384342,36.24682354451082,2.757511194270611,2.021743105088447,-1.5210471223074427,2288.2152079304,8.454545454545455,1081790.0648521418,1250548.9485511289,45.30663205503486,30.936288559891924,36.348055428331314,2.9299098255453813,2.154858702786839,-1.9215858609947183,50568.696166439935,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-0.35854483289337685,-0.32014555757459007,0.9797979797979799,8585551.11776042,9539774.526541093,0.9696969696969696,7488254.520857841,8919589.63402885,3.0,11,0.3648176998831332,129.0,1000850.0792678546,1500205.7337734832,40.55860538963173,30.068531826108668,26.409727108672783,0.4488559197780573,-53541.32116379835,93.0,992434.8532485386,1520869.8605892037,37.703177152513035,28.242684424096716,24.644823586075518,0.4858678652950734,-98249.73453888221,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.08874199672546257,-0.043116762836147515,0.9844961240310077,8596004.736189812,9328315.724323818,0.978494623655914,7473265.954850807,8489052.164197974
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,11.727272727272727,1133216.2887900923,1266078.4828525723,53.62810269429724,41.82524038501926,42.38675439957287,3.377900269791807,2.3837908140245987,-2.3154906969839386,96138.05265668673,8.454545454545455,1113320.1901471152,1257980.2873433402,54.98624102660867,39.04432339542656,39.743781756543854,3.331054738304891,2.3845607311701147,-2.481291508409178,73430.38344450622,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-0.5757340495776988,-0.5347320690780517,0.6767676767676768,3143352.0769099686,15769016.7351141,0.6818181818181818,2932877.8067997308,16460009.650631549,3.0,11,0.3127522999420762,129.0,1079674.5239415544,1500388.5540441875,48.936375230734754,40.54320524473706,28.48969104777535,0.44872158293721587,18478.189293418298,93.0,1006989.8240633912,1466234.169594593,45.49316601234813,34.466357823978086,25.006262613391385,0.5221437013352863,27078.72601062477,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.10470940046523736,-0.005643862226798246,0.689922480620155,3159740.6040288853,13996601.822048923,0.7096774193548387,2931281.2095337934,13767936.970522368
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,ets_holt_winters,11.727272727272727,1047787.0564090476,1216954.0396659141,41.13666775288242,30.928703194074117,33.58963367347992,2.7024413751794047,1.9808218580244925,-0.7845997711706532,-214922.15967433577,8.454545454545455,1065844.565432635,1227515.324116958,42.654198676014715,30.159367340410345,33.1084574132559,2.81070855801012,2.0664112647575865,-1.0790593499991337,-167250.7697692704,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-0.8554955486525327,-0.8368682815088196,0.8207070707070708,3310576.344855694,8858401.357516386,0.8030303030303029,2894940.5030428697,10582644.843827154,3.0,11,0.6898993994109333,129.0,1024527.5600381416,1353405.9015885205,38.46906159889707,30.044533582600828,27.0345117979257,0.5514409359644015,-265797.19589101133,93.0,1015451.7307673343,1357328.008472623,36.20153399068867,27.95308954193828,25.216394489794045,0.5904940049291022,-293557.44850975997,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.11399246138434882,0.0690514454956197,0.8294573643410853,3328363.3899095817,8094284.746631459,0.8172043010752689,2849771.939913118,9110733.611640828
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,seasonal_moving_average_3,11.727272727272727,1055430.2971380472,1242814.0987231678,39.72281378008233,30.73811557858085,33.04541595159415,2.7045545347167805,2.026040942820872,-0.8839946939915667,-335289.7281144782,8.454545454545455,1089676.8097643098,1264510.4450185131,41.94183850852213,30.513732793880255,33.321871969874906,2.8689828213611865,2.1397958419904057,-1.315847820376786,-304009.30471380474,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-0.8534928966152692,-0.786835503039084,0.7222222222222222,2670772.870443945,12604882.167040616,0.7070707070707071,2670772.870443945,14958974.31438498,3.0,11,0.31699499988462776,129.0,1030677.5839793283,1376870.7977296489,37.02280475313621,29.83317675591852,27.196794298934602,0.5357521692913576,-387699.2480620155,93.0,1048745.6379928314,1430687.6109154697,35.96345799387614,28.552581966490134,26.043171650408386,0.5450326040762498,-425106.8064516129,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.1505172518155069,0.018736403422602854,0.7286821705426356,2682115.6330325934,11740619.533201814,0.7096774193548387,2659085.84241707,13549080.818568807
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,sarima_111_111_12,11.727272727272727,1369647.6164185153,1550893.904399928,60.10829338318474,52.88480398257473,49.647339781941106,4.0564809211001,2.818990862402511,-3.081253032708231,140336.12298313642,8.454545454545455,1263897.1483206823,1432745.3606267332,55.2943304979422,48.22608814687665,44.27045684729265,3.791285598353592,2.667466373055517,-3.177449246571204,102947.4579666949,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-0.5815308300428379,-0.47164566348561704,0.7702020202020201,4706312.2995805815,19485497.420913488,0.7626262626262627,4146196.6370177898,20276663.770383652,3.0,11,1.5443520997650921,129.0,1319339.967362272,1851205.6690381684,55.470486027367485,51.896974151481245,34.81381400008644,0.16078575277000318,61439.834544675316,93.0,1156575.4816911723,1720489.498756521,46.9200842723157,43.50784718768429,28.720876354713244,0.34204726768679583,63923.76419317602,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.2688110410253923,-0.18002958894932042,0.7829457364341085,4736987.732819918,18065875.964033235,0.7741935483870968,4129838.861253974,18266749.23248933
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,same_month_historical_mean,11.727272727272727,1172003.3734396459,1303273.8881612448,39.203753130294984,35.399214534613094,33.588601366832634,2.882386353106879,2.0220048224490315,-0.38050348679478374,-652860.3784100544,8.454545454545455,1195208.7398764344,1315482.7318198597,40.146771298783506,34.77064969165221,33.27002280758149,3.01421572169194,2.1131627053320043,-0.602158798053778,-636684.6347870794,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-2.227330979378014,-1.9282312260388417,0.6414141414141414,2432071.2910040827,12260202.0916457,0.6313131313131314,2432071.2910040827,13588841.583216103,3.0,11,0.023956899996846914,129.0,1158398.3123959983,1420091.782675032,37.161498835033626,34.69007524534062,30.566998941444737,0.5061485492935477,-700478.7403149784,93.0,1183568.091098129,1452709.5872708685,36.053872229407816,33.47300948419756,29.391175362033263,0.530918562041585,-748981.7037945723,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-0.2984230476637775,0.0036322230569019176,0.6434108527131783,2437004.1659287354,11729298.244668763,0.6236559139784946,2422116.402343992,12794645.871945906
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,naive_last,11.727272727272727,2340620.227272727,2630040.035627849,106.43523772687513,56.847174830082615,76.42498696990788,7.251436068378967,5.265017137405848,-5.9979259095650965,1788148.3636363635,8.454545454545455,2338181.0404040404,2629563.3341852594,105.4892714822854,56.90319317163801,72.3172089692354,7.1548554116611,5.18676017338535,-5.298730814703298,1609981.9595959596,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-4.489201535507443,-4.56117763458495,0.883838383838384,10790570.74446769,12603837.972745014,0.8383838383838383,9911453.882988237,12533212.280168444,3.0,11,0.015538600040599704,129.0,2279162.6744186045,2695132.7721346943,100.42941769869351,55.3923529045017,60.14093970167849,-0.778786542232202,1713842.6279069767,93.0,2272648.376344086,2670884.017986146,97.14888410420436,54.3867671968668,56.43596466291621,-0.5856257907683962,1559168.569892473,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-1.4931890723270347,-0.8318752727949803,0.8914728682170543,10785465.285473377,12327679.702187635,0.8494623655913979,9909149.643917186,12048350.28645632
run_20260811T161321Z_ebb0c846,fixed_origin_12m_ex_ante,drift,11.727272727272727,2535324.728598569,2834758.416357718,115.69822281251523,59.47545299289921,82.96706698860612,7.990555809788041,5.786338212610734,-7.253601789626418,2104526.4862417835,8.454545454545455,2445431.364181276,2755499.4326921585,111.50661167971928,58.19991701216384,76.12651878380859,7.619331090917089,5.528867165796675,-6.146509404847612,1874883.008023764,8.454545454545455,1002299.994949495,1192574.3515534832,43.25025436973568,30.429605065824475,34.9295417365594,2.8347172357303942,2.1367038464762853,-2.127469929062232,-189340.5303030303,-4.8449588559682075,-4.8833485785847905,1.0,21924259.925203245,21924259.925203245,1.0,20136722.163795892,20136722.163795892,3.0,11,0.019751799991354346,129.0,2469144.3020211267,2917869.398548647,109.24706628675568,58.00192102103627,65.1540411087488,-1.084947884152804,2028327.495888603,93.0,2377501.7820376093,2813212.1764670718,102.81432409497937,55.71063279169902,59.0397564153497,-0.7591206203388827,1828363.2971072877,93.0,911542.7311827957,1458005.3880584617,35.77257727246405,27.41977571659245,22.636054878197154,0.5274922890522273,-266153.9784946237,-1.6082175861932666,-0.9294936764350765,1.0,21881866.54679338,21881866.546793375,1.0,20196285.737879276,20196285.73787928
