run_id,fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,full_n,full_mae,full_rmse,full_mape,full_smape,full_wape,full_mase,full_rmsse,full_r2,full_bias,paired_n,paired_mae,paired_rmse,paired_mape,paired_smape,paired_wape,paired_mase,paired_rmsse,paired_r2,paired_bias,paired_seasonal_naive_n,paired_seasonal_naive_mae,paired_seasonal_naive_rmse,paired_seasonal_naive_mape,paired_seasonal_naive_smape,paired_seasonal_naive_wape,paired_seasonal_naive_mase,paired_seasonal_naive_rmsse,paired_seasonal_naive_r2,paired_seasonal_naive_bias,paired_mae_skill_vs_seasonal_naive,paired_rmse_skill_vs_seasonal_naive,full_interval_95_coverage,full_interval_95_mean_width,full_interval_95_winkler,paired_interval_95_coverage,paired_interval_95_mean_width,paired_interval_95_winkler,forecast_origin,target_available_through,target_publication_delay_months
run_20260811T161321Z_ebb0c846,one_step_201501,one_step_ex_ante,naive_last,2008-01,2014-12,2015-01,2015-01,0.0010594000341370702,,1.0,3733978.0,3733978.0,211.9165450248694,102.89295129530423,211.9165450248694,20.676096099320574,15.969120550398817,,3733978.0,1.0,3733978.0,3733978.0,211.9165450248694,102.89295129530423,211.9165450248694,20.676096099320574,15.969120550398817,,3733978.0,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,-19.01006403901289,-19.01006403901289,0.0,6717130.240386136,21733645.432663437,0.0,6717130.240386136,21733645.432663437,2014-12-31,2014-09-01,3
run_20260811T161321Z_ebb0c846,one_step_201501,one_step_ex_ante,seasonal_naive,2008-01,2014-12,2015-01,2015-01,0.0011867000721395016,,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,0.0,0.0,1.0,728937.2942065448,728937.2942065448,1.0,728937.2942065448,728937.2942065448,2014-12-31,2014-09-01,3
run_20260811T161321Z_ebb0c846,one_step_201501,one_step_ex_ante,drift,2008-01,2014-12,2015-01,2015-01,0.0010868000099435449,,1.0,3950140.3,3950140.3,224.18452512026076,105.70141617339866,224.1845251202608,21.873048113459426,16.89358283355942,,3950140.3,1.0,3950140.3,3950140.3,224.18452512026076,105.70141617339866,224.1845251202608,21.873048113459426,16.89358283355942,,3950140.3,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,-20.168459044505774,-20.168459044505774,1.0,13246644.705586748,13246644.705586748,1.0,13246644.705586748,13246644.705586748,2014-12-31,2014-09-01,3
run_20260811T161321Z_ebb0c846,one_step_201501,one_step_ex_ante,same_month_historical_mean,2008-01,2014-12,2015-01,2015-01,0.002380399964749813,,1.0,446929.2857142857,446929.2857142857,25.364828099952426,29.048934214088302,25.364828099952422,2.4747743187103066,1.9113844915730793,,-446929.2857142857,1.0,446929.2857142857,446929.2857142857,25.364828099952426,29.048934214088302,25.364828099952422,2.4747743187103066,1.9113844915730793,,-446929.2857142857,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,-1.3950552542230148,-1.3950552542230148,1.0,1370715.0129033239,1370715.0129033239,1.0,1370715.0129033239,1370715.0129033239,2014-12-31,2014-09-01,3
run_20260811T161321Z_ebb0c846,one_step_201501,one_step_ex_ante,seasonal_moving_average_3,2008-01,2014-12,2015-01,2015-01,0.01498049998190254,,1.0,290028.0,290028.0,16.460121543424417,17.936289030853622,16.460121543424417,1.6059673622859447,1.2403640554366062,,-290028.0,1.0,290028.0,290028.0,16.460121543424417,17.936289030853622,16.460121543424417,1.6059673622859447,1.2403640554366062,,-290028.0,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,-0.5542348811660995,-0.5542348811660995,1.0,950508.4383307062,950508.4383307062,1.0,950508.4383307062,950508.4383307062,2014-12-31,2014-09-01,3
run_20260811T161321Z_ebb0c846,one_step_201502,one_step_ex_ante,naive_last,2008-01,2015-01,2015-02,2015-02,0.0009321999968960881,,1.0,2728354.0,2728354.0,174.3440739971564,93.14643190984813,174.3440739971564,15.076590843264613,11.686651154338442,,2728354.0,1.0,2728354.0,2728354.0,174.3440739971564,93.14643190984813,174.3440739971564,15.076590843264613,11.686651154338442,,2728354.0,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,-64.45954894433781,-64.45954894433781,1.0,6764192.731081361,6764192.731081361,1.0,6764192.731081361,6764192.731081361,2015-01-31,2014-10-01,3
run_20260811T161321Z_ebb0c846,one_step_201502,one_step_ex_ante,seasonal_naive,2008-01,2015-01,2015-02,2015-02,0.0014649999793618917,,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,0.0,0.0,1.0,724240.3416740457,724240.3416740457,1.0,724240.3416740457,724240.3416740457,2015-01-31,2014-10-01,3
run_20260811T161321Z_ebb0c846,one_step_201502,one_step_ex_ante,drift,2008-01,2015-01,2015-02,2015-02,0.0015758000081405044,,1.0,2882454.888888889,2882454.888888889,184.19124807188135,95.8851868678797,184.19124807188135,15.92813578587879,12.346728010574076,,2882454.888888889,1.0,2882454.888888889,2882454.888888889,184.19124807188135,95.8851868678797,184.19124807188135,15.92813578587879,12.346728010574076,,2882454.888888889,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,-68.15678716144167,-68.15678716144167,1.0,11969319.749044375,11969319.749044375,1.0,11969319.749044375,11969319.749044375,2015-01-31,2014-10-01,3
run_20260811T161321Z_ebb0c846,one_step_201502,one_step_ex_ante,same_month_historical_mean,2008-01,2015-01,2015-02,2015-02,0.0016346999909728765,,1.0,329631.14285714296,329631.14285714296,21.06370227692336,23.5432414160281,21.063702276923365,1.8215062525078678,1.4119444090383175,,-329631.14285714296,1.0,329631.14285714296,329631.14285714296,21.06370227692336,23.5432414160281,21.063702276923365,1.8215062525078678,1.4119444090383175,,-329631.14285714296,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,-6.9086166712366355,-6.9086166712366355,1.0,1383246.1577007687,1383246.1577007687,1.0,1383246.1577007687,1383246.1577007687,2015-01-31,2014-10-01,3
run_20260811T161321Z_ebb0c846,one_step_201502,one_step_ex_ante,seasonal_moving_average_3,2008-01,2015-01,2015-02,2015-02,0.013942199992015958,,1.0,182379.33333333326,182379.33333333326,11.654190030406138,12.37531117075295,11.654190030406138,1.007808586031738,0.781204948634772,,-182379.33333333326,1.0,182379.33333333326,182379.33333333326,11.654190030406138,12.37531117075295,11.654190030406138,1.007808586031738,0.781204948634772,,-182379.33333333326,1.0,41680.0,41680.0,2.6633864242695338,2.699333262093732,2.6633864242695338,0.23031919844245619,0.1785324118911352,,-41680.0,-3.375703774792065,-3.375703774792065,1.0,944815.8818747955,944815.8818747955,1.0,944815.8818747955,944815.8818747955,2015-01-31,2014-10-01,3
